CustomerID,Age,Income,LoanAmount,CreditScore,Default
C0001,59,155090,49406,517,1
C0002,49,31302,26426,489,0
C0003,35,87506,18772,716,1
C0004,63,61157,39218,845,1
C0005,28,74917,4712,340,1
C0006,41,116646,2367,606,0
C0007,59,103122,41957,637,0
C0008,39,44519,42781,613,1
C0009,43,100910,27200,374,0
C0010,31,140430,4726,578,0
C0011,31,91324,24616,475,0
C0012,44,25408,28723,572,0
C0013,56,79379,38574,588,0
C0014,60,45053,35958,571,0
C0015,44,160518,10108,365,1
C0016,23,151994,13178,782,0
C0017,42,118723,36643,547,1
C0018,22,71356,32324,455,0
C0019,44,30789,39360,346,0
C0020,64,117720,18824,753,0
C0021,50,86656,46360,500,0
C0022,58,64028,9927,423,1
C0023,22,84484,29144,300,0
C0024,41,52154,32010,490,0
C0025,53,22336,23443,815,0
C0026,32,123677,15437,741,0
C0027,42,87779,45298,442,0
C0028,64,39029,40778,490,0
C0029,45,79201,12207,832,0
C0030,47,52265,26537,526,1
C0031,62,122916,36757,612,0
C0032,48,194944,13040,601,0
C0033,36,66197,42986,759,0
C0034,35,145733,23612,700,0
C0035,64,174782,29441,692,0
C0036,23,180558,7471,506,0
C0037,57,91907,36631,509,0
C0038,27,148876,44461,414,1
C0039,41,84435,27523,550,0
C0040,29,60631,32348,518,0
C0041,59,149038,2177,706,0
C0042,38,40103,5760,742,0
C0043,24,84772,33779,653,0
C0044,45,146108,22636,849,0
C0045,34,34382,17353,441,1
C0046,29,104291,12556,800,1
C0047,46,121195,28598,846,1
C0048,22,154828,12563,841,0
C0049,40,40609,47819,806,0
C0050,48,167550,44790,580,0
C0051,27,190738,9234,723,1
C0052,64,95683,26519,569,0
C0053,28,144714,27966,453,1
C0054,55,150330,17173,382,0
C0055,34,91315,27987,725,0
C0056,37,97834,14178,574,0
C0057,56,146205,40338,583,0
C0058,60,34153,25596,472,0
C0059,24,96325,34174,626,0
C0060,22,164071,42974,362,0
C0061,26,75318,5431,372,0
C0062,62,151886,28764,674,0
C0063,24,135033,22627,807,0
C0064,49,96077,40310,697,0
C0065,38,110474,9906,419,0
C0066,46,153515,37914,736,0
C0067,64,93319,45814,764,0
C0068,54,145885,46379,585,0
C0069,30,129777,14076,564,0
C0070,56,37368,38650,619,0
C0071,34,166400,47881,675,0
C0072,51,111751,47413,388,1
C0073,35,47306,7012,502,0
C0074,28,190987,8151,633,0
C0075,34,57219,29211,521,0
C0076,43,80279,28117,340,1
C0077,60,73028,37378,367,0
C0078,41,124263,43652,813,0
C0079,36,20126,7894,426,1
C0080,38,72329,14467,554,0
C0081,44,47632,32010,315,1
C0082,46,129945,43641,776,0
C0083,45,75176,13289,361,1
C0084,61,195399,45976,731,0
C0085,49,154869,44596,567,0
C0086,35,198954,24171,334,0
C0087,21,164790,35905,793,0
C0088,45,54560,21829,768,0
C0089,27,96589,35054,624,1
C0090,29,42116,49478,603,1
C0091,44,187316,45139,575,0
C0092,21,152717,49713,500,1
C0093,64,198595,30734,744,0
C0094,28,144085,8052,623,0
C0095,44,137718,4654,334,0
C0096,31,39256,24486,781,0
C0097,37,120158,19743,779,0
C0098,28,188502,49368,364,0
C0099,55,190354,25489,307,1
C0100,55,139719,9636,600,0
C0101,53,88244,7441,642,1
C0102,25,162766,25611,730,0
C0103,62,76264,43435,723,0
C0104,59,77545,13149,631,0
C0105,61,59224,35566,737,1
C0106,48,117945,43368,473,0
C0107,27,33224,22675,826,0
C0108,29,60738,6495,325,0
C0109,28,176222,43668,705,0
C0110,32,83731,14673,531,0
C0111,54,159649,12130,832,0
C0112,53,28070,23668,849,0
C0113,43,146161,16222,804,0
C0114,44,28666,24669,478,0
C0115,57,77761,35068,431,0
C0116,55,56368,24253,754,0
C0117,64,157855,10435,647,0
C0118,60,61914,29552,839,1
C0119,42,147738,38384,705,0
C0120,47,87526,17393,375,0
C0121,55,196837,11617,791,0
C0122,21,39956,39520,493,0
C0123,55,66240,10852,461,0
C0124,57,141008,32401,646,0
C0125,34,188220,7295,660,0
C0126,23,114270,36993,386,1
C0127,21,24757,35084,561,0
C0128,25,39097,46105,513,0
C0129,46,161467,40575,561,0
C0130,34,167313,37451,582,0
C0131,59,123892,8227,766,0
C0132,47,178768,32910,679,0
C0133,29,90480,37041,661,0
C0134,35,66163,24384,748,0
C0135,35,39816,1145,740,0
C0136,46,72853,38778,392,0
C0137,62,175989,17035,723,0
C0138,33,116731,4040,441,0
C0139,52,172638,43422,590,1
C0140,59,82823,27160,731,0
C0141,52,171878,18633,348,0
C0142,24,21759,30344,601,1
C0143,50,193021,18014,489,0
C0144,57,112374,15996,435,0
C0145,43,153554,42621,703,0
C0146,59,44442,12695,640,0
C0147,35,184791,3852,617,0
C0148,63,113501,17014,662,0
C0149,49,22079,28042,681,0
C0150,56,153789,34755,532,0
C0151,33,79676,41390,643,1
C0152,52,179024,24711,848,0
C0153,27,193532,27122,828,0
C0154,42,110397,10160,482,1
C0155,48,92847,28213,340,0
C0156,22,113607,40420,696,1
C0157,62,169521,8421,793,0
C0158,26,184608,22400,632,0
C0159,48,84077,34537,426,0
C0160,48,58258,18727,300,0
C0161,64,199374,47882,467,0
C0162,64,179937,5358,318,1
C0163,40,157717,29482,631,0
C0164,50,139771,33117,755,0
C0165,31,58000,24164,408,1
C0166,48,46737,32910,567,0
C0167,45,31485,33496,744,0
C0168,59,58565,45311,539,1
C0169,53,176594,30371,600,0
C0170,21,139614,39467,402,0
C0171,47,85155,18625,549,1
C0172,33,72487,34893,752,0
C0173,61,149948,11793,819,0
C0174,23,32342,32007,452,0
C0175,59,60806,26766,473,0
C0176,26,68770,40532,642,1
C0177,28,98623,13323,730,0
C0178,47,123177,46799,623,0
C0179,29,151026,47820,719,0
C0180,57,95629,46408,784,0
C0181,53,140993,8843,711,0
C0182,62,146944,15210,383,1
C0183,64,125947,17456,412,0
C0184,44,46399,32367,631,0
C0185,35,148177,11106,677,0
C0186,52,129575,38957,340,0
C0187,52,130904,3472,404,0
C0188,44,50678,7704,501,0
C0189,61,96218,4713,749,0
C0190,32,83230,6051,565,0
C0191,59,94055,11756,509,0
C0192,22,182552,3475,417,0
C0193,23,92258,37378,676,0
C0194,57,59986,5255,839,0
C0195,37,175232,15484,383,1
C0196,22,105595,35503,753,0
C0197,22,121358,9258,813,1
C0198,48,84929,41747,686,0
C0199,43,93506,36196,649,0
C0200,57,54911,46113,595,1
C0201,52,107127,41194,557,0
C0202,53,182893,9533,380,1
C0203,21,133453,33581,567,0
C0204,39,104458,6249,718,0
C0205,22,32175,20201,534,0
C0206,64,139235,10686,610,0
C0207,46,74771,47877,656,0
C0208,52,147157,33007,512,0
C0209,26,141300,1661,348,0
C0210,52,106925,45843,426,0
C0211,24,86358,31137,522,0
